<X> <Y> <dY>
8.625359217188602e-02 1.108457008516909e+00 3.048553804248462e-02
8.674969130450537e-02 1.171944871803775e+00 3.048553804248462e-02
8.724428564031078e-02 1.883438513043437e+00 3.054236108907631e-02
8.775029936166810e-02 2.884191676215984e+00 2.961744388795462e-02
8.826118059845584e-02 3.971332924692476e+00 2.993421700446249e-02
8.876140233690248e-02 4.384580884938071e+00 3.026137663344012e-02
8.924985413324865e-02 4.899919581177778e+00 3.031695312954162e-02
8.973622607994294e-02 5.090844698164652e+00 3.037283696153936e-02
9.023766650945751e-02 5.365204330244090e+00 2.921031189184930e-02
9.074850066062423e-02 6.844842692580867e+00 2.956561979945413e-02
9.125458956864586e-02 8.482446931092978e+00 2.941176470588235e-02
9.175183560698909e-02 1.024495920850487e+01 2.982749931359468e-02
9.224630035248309e-02 1.051348176138100e+01 2.956561979945413e-02
9.274854091052286e-02 9.602888786207032e+00 2.901294265928297e-02
9.324609396533672e-02 8.375619813404061e+00 2.982749931359468e-02
9.374688054944365e-02 7.024312890866305e+00 2.872424948107131e-02
9.425369275115927e-02 6.049449518092490e+00 2.916059217599022e-02
9.475312281273338e-02 5.454371770098612e+00 2.911112548697910e-02
9.525121840134333e-02 5.224409001556074e+00 2.891574659831201e-02
9.574735518228412e-02 5.336375710021668e+00 2.926028679903264e-02
9.624732632548917e-02 5.143986007277237e+00 2.853650727676748e-02
9.674971971957480e-02 4.783947474482908e+00 2.881952088521175e-02
9.724908037678306e-02 5.424382142041519e+00 2.872424948107131e-02
9.774347220178149e-02 5.639566488814869e+00 2.877176688242180e-02
9.823533687053512e-02 5.942702134602653e+00 2.891574659831201e-02
9.873772204173414e-02 4.826746969724265e+00 2.799462554779271e-02
9.924267682929612e-02 6.150298152611796e+00 2.849014411490949e-02
9.973507334084246e-02 5.008527568589767e+00 2.872424948107131e-02
1.002287371565570e-01 6.357473924478212e+00 2.817180849095055e-02
1.007398651291024e-01 9.201746252798909e-01 3.020610466650885e-02
1.012440887666046e-01 6.244882387944636e-01 3.059950306810523e-02
1.017521200656027e-01 5.160177824417813e-01 3.168621252622390e-02
1.022524233662006e-01 5.619012063367409e-01 3.247849012308154e-02
1.027443480113697e-01 5.400508993755678e-01 3.325950526188697e-02
1.032354536205632e-01 6.168189093761887e-01 3.378686891997430e-02
1.037371791330800e-01 5.695864107767004e-01 3.333333333333333e-02
1.042491494567088e-01 5.106611845526698e-01 3.434014098717225e-02
1.047497246969854e-01 5.261851806104557e-01 3.509312031717982e-02
1.052485004063765e-01 4.207174601533477e-01 3.526728079292991e-02
1.057557068017828e-01 4.051634142052197e-01 3.562352499395482e-02
1.062518977341828e-01 3.324495810016174e-01 3.666177875533832e-02
1.067453289640664e-01 2.552741681802545e-01 3.716470731235831e-02
1.072471534341381e-01 2.661763331995068e-01 3.676073110469039e-02
1.077546731767387e-01 2.134953309161818e-01 3.747658444979307e-02
1.082565252247279e-01 2.045630949744585e-01 3.846153846153846e-02
1.087485443042814e-01 2.153135807174393e-01 3.869116162670684e-02
1.092389416130410e-01 2.003278945760226e-01 4.003203845127178e-02
1.097422966333252e-01 2.176393742647539e-01 3.823595564509363e-02
1.102562624328157e-01 2.098276549781248e-01 4.016096644512494e-02
1.107546232148553e-01 2.099108104748574e-01 4.068942293855797e-02
1.112431582480748e-01 2.222044443701139e-01 4.138029443011840e-02
1.117366304828761e-01 2.371240899854184e-01 4.181210050035454e-02
1.122391905587568e-01 1.968012409357850e-01 4.096159602595202e-02
1.127465131287581e-01 2.114660752855229e-01 4.287464628562721e-02
1.132479195734906e-01 2.140775355113651e-01 4.240944648399855e-02
1.137543696278461e-01 2.192513668019906e-01 4.303314829119352e-02
1.142550796705458e-01 2.190630396562731e-01 4.472135954999579e-02
1.147469514012068e-01 2.045647372177744e-01 4.385290096535146e-02
1.152476172029089e-01 2.128701904774944e-01 4.583492485141056e-02
1.157431026466332e-01 2.380268211410670e-01 4.508348173337162e-02
1.162497216205241e-01 2.554522053791309e-01 4.564354645876385e-02
1.167601081539346e-01 2.925765144105635e-01 4.662524041201568e-02
1.172559487692363e-01 2.967659581429570e-01 4.703604341917986e-02
1.177513305786102e-01 3.300859049012947e-01 4.902903378454600e-02
1.182428540446357e-01 3.206645430168828e-01 4.789131426105757e-02
1.187495950294419e-01 3.462498002961670e-01 4.879500364742666e-02
1.192667826428987e-01 3.213422199971740e-01 4.879500364742666e-02
1.197641501270681e-01 3.501427642826974e-01 5.103103630798287e-02
1.202401181432225e-01 3.281716966035677e-01 5.360562674188975e-02
1.207396973995736e-01 2.837514457959062e-01 4.926646390821465e-02
1.212586389581856e-01 2.999112732483672e-01 5.330017908890261e-02
1.217566647402963e-01 2.454380325075727e-01 5.299989400031799e-02
1.222568299406062e-01 2.228173839247739e-01 5.360562674188975e-02
1.227560736522318e-01 2.175582947982165e-01 5.625439504630119e-02
1.232527082032867e-01 1.815105862619281e-01 5.391638660171921e-02
1.237557258487201e-01 1.725087739188033e-01 5.852057359806528e-02
1.242505435093438e-01 1.110746854165885e-01 5.625439504630119e-02
1.247583307017349e-01 7.439981704225199e-02 5.812381937190964e-02
1.252615059234731e-01 3.841895159900689e-02 6.019292654288460e-02
1.257528401301960e-01 3.785771893415952e-02 5.933908290969267e-02
1.262516511665381e-01 3.513557696400256e-02 6.350006350009525e-02
1.267452316713137e-01 5.212493724121360e-02 6.108472217815261e-02
1.272499137366871e-01 5.656374317436785e-02 6.401843996644799e-02
1.277546585778297e-01 6.525439493651349e-02 6.509445549041193e-02
1.282444835444896e-01 9.205650875683009e-02 6.565321642986129e-02
1.287401688390126e-01 8.977035851231530e-02 7.001400420140050e-02
1.292466176294181e-01 1.093694410319698e-01 6.509445549041193e-02
1.297550829816991e-01 1.302623464972632e-01 7.372097807744857e-02
1.302558783163372e-01 1.369466716005435e-01 7.001400420140050e-02
