<X> <Y> <dY>
1.195242751465163e-01 1.178535373810146e+00 9.245003270420486e-02
1.209404829526563e-01 1.010172013167562e+00 9.166984970282113e-02
1.223455313224177e-01 8.452581940504575e-01 9.205746178983235e-02
1.237506178469832e-01 6.115501475065354e-01 9.491579957524991e-02
1.251735925841308e-01 1.502711841010115e-01 9.901475429766744e-02
1.265826927189086e-01 1.075830583908601e-01 1.054092553389460e-01
1.279878222174804e-01 1.930920313201555e-01 1.097642599896904e-01
1.294023233048511e-01 3.046035286442800e-01 1.170411471961306e-01
1.308161742859047e-01 4.410893406459762e-01 1.240347345892085e-01
1.322234397157499e-01 6.178757291471084e-01 1.348399724926484e-01
1.336202524343546e-01 1.043455547004989e+00 1.458649914978946e-01
1.350282007847997e-01 1.426098407284836e+00 1.601281538050872e-01
1.364263498989799e-01 7.318590627704186e-01 1.825741858350554e-01
1.378358572634880e-01 5.924991430623722e-02 2.085144140570749e-01
1.392530909915375e-01 1.840404435075765e-02 2.672612419124243e-01
1.405966448252255e-01 2.686647848886052e-02 4.082482904638631e-01
